,id_hs,id_hh,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,num_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_occu,num_tot_energy_heat,num_tot_gas_heat,num_mhh_age,num_hh_ann_incm
2388,2016_HS3811400006,2016_HH12380029,3,2,1,1,5,2,3,42.9,1,1,1,3,1,1,4,4,1,12478.85,10461.29,55,18000000
2389,2016_HS3811400007,2016_HH16380004,3,2,2,1,5,1,3,42.9,2,1,1,8,1,1,4,3,1,4607.3235665,1585.36,55,42000000
2390,2016_HS3811500001,2016_HH12380039,3,2,3,4,6,1,6,125.4,4,1,1,5,1,3,4,3,1,5789.2585965,3924.5503726,35,42000000
2391,2016_HS3811500002,2016_HH11380079,3,2,1,1,5,1,4,82.5,3,1,2,8,2,1,3,4,1,10774.31,0.0,45,25000000
2392,2016_HS3811500003,2016_HH12380040,3,2,1,1,5,2,4,49.5,2,1,1,5,2,3,3,1,5,4615.2,0.0,67,18000000
2393,2016_HS3811500004,2016_HH14380014,3,2,1,1,6,2,4,52.8,3,1,1,4,2,3,3,2,1,7241.7526717,0.0,67,18000000
2394,2016_HS3811500005,2016_HH11380080,3,2,2,1,6,3,3,69.3,3,1,1,10,2,1,3,1,5,3600.3889479,0.0,67,12000000
2395,2016_HS3811500006,2016_HH11380081,3,2,1,1,5,1,5,72.6,3,1,2,10,1,3,4,2,1,11125.597451,9647.75,67,18000000
2396,2016_HS3811500007,2016_HH12380041,3,2,1,1,5,2,3,69.3,3,1,1,8,2,3,3,3,2,8927.06,0.0,67,18000000
2397,2016_HS3811500009,2016_HH12380042,3,2,1,1,5,4,3,79.19999999999999,3,1,1,6,2,3,3,2,1,15596.25,0.0,45,18000000
2398,2016_HS3811500010,2016_HH12380043,3,2,1,1,5,4,3,92.4,3,1,1,6,4,3,5,1,5,4271.5488683,0.0,67,12000000
2399,2016_HS3811500011,2016_HH11380082,3,2,1,2,5,1,2,62.7,2,1,1,6,2,3,3,3,3,11543.51,0.0,45,25000000
2400,2016_HS3811500012,2016_HH12380044,3,2,1,1,5,4,2,42.9,2,0,1,3,2,1,3,1,5,4104.4302416,0.0,67,12000000
2401,2016_HS3811500013,2016_HH11380083,3,2,2,1,5,4,3,75.89999999999999,2,1,1,8,2,3,3,1,5,5959.12,0.0,67,12000000
2402,2016_HS3811500014,2016_HH12380045,3,2,1,1,5,2,4,42.9,2,1,0,4,2,1,3,2,3,11014.85,0.0,45,25000000
2403,2016_HS3811500015,2016_HH14380016,3,2,1,1,5,2,4,82.5,4,1,2,6,2,3,5,2,1,7293.0775165,0.0,45,25000000
2404,2016_HS3811500016,2016_HH14380017,3,2,1,1,6,1,3,82.5,4,1,2,8,1,3,4,2,5,7652.0040501,4972.6735303,67,18000000
2405,2016_HS3811500017,2016_HH12380046,3,2,1,1,6,1,3,95.7,4,1,2,10,2,1,3,3,1,5632.4558943,0.0,45,18000000
2406,2016_HS3811500018,2016_HH12380047,3,2,1,1,6,1,3,75.89999999999999,3,1,2,8,2,1,3,4,1,10507.5,0.0,45,25000000
2407,2016_HS3833000001,2016_HH12380025,3,2,1,2,4,4,4,59.4,2,1,1,3,2,3,3,1,3,6244.2280978,0.0,67,18000000
2408,2016_HS3833000002,2016_HH12380026,3,2,3,1,6,1,4,85.8,4,1,1,6,2,3,3,4,1,6198.9148705,0.0,45,25000000
2409,2016_HS3833000003,2016_HH14380011,3,2,1,1,6,1,5,59.4,1,1,1,14,2,1,3,1,5,4267.22,0.0,67,12000000
2410,2016_HS3833000004,2016_HH13380008,3,2,1,1,6,1,3,49.5,2,1,1,6,2,3,3,3,2,6871.9422167,0.0,67,12000000
2411,2016_HS3833000005,2016_HH12380027,3,2,1,1,6,3,3,33.0,2,1,1,20,1,3,3,2,1,2641.8697129,0.0,67,18000000
2412,2016_HS3835000001,2016_HH11380035,3,2,1,1,6,3,1,42.9,2,1,1,3,5,3,3,2,3,15087.427318,0.0,67,12000000
2413,2016_HS3835000002,2016_HH12380013,3,2,1,1,5,2,1,33.0,1,1,1,3,5,3,3,1,3,11767.232407,0.0,67,12000000
2414,2016_HS3835000003,2016_HH12380014,3,2,1,1,5,2,1,49.5,2,1,1,4,2,1,3,1,5,4236.9037893,0.0,67,12000000
2415,2016_HS3835000004,2016_HH12380015,3,2,1,1,6,3,2,42.9,2,1,1,7,2,3,3,2,3,6880.6159305,0.0,67,12000000
2416,2016_HS3835000005,2016_HH11380036,3,2,1,1,6,3,1,42.9,2,1,1,3,2,3,3,2,2,8336.9988534,0.0,55,18000000
2417,2016_HS3835000006,2016_HH12380016,3,2,1,1,5,2,2,56.1,2,1,1,6,2,1,3,1,5,4335.9018148,0.0,67,12000000
2418,2016_HS3835000007,2016_HH12380017,3,2,1,1,5,2,3,75.89999999999999,2,1,1,8,2,3,3,2,3,6649.7529428,0.0,67,12000000
2419,2016_HS3835000008,2016_HH13380001,3,2,1,1,6,1,2,49.5,3,1,1,7,2,3,3,1,5,7301.6086758,0.0,67,12000000
2420,2016_HS3836000002,2016_HH12380049,3,2,1,2,5,4,1,75.89999999999999,3,1,1,7,2,1,3,1,3,6786.8917378,0.0,67,12000000
2421,2016_HS3836000003,2016_HH12380050,3,2,1,1,5,4,1,82.5,2,1,1,6,5,3,3,2,3,13285.357047,0.0,55,12000000
2422,2016_HS3836000004,2016_HH11380084,3,2,1,1,6,2,4,115.5,4,1,1,7,2,3,3,5,4,7451.6771644,0.0,55,18000000
2423,2016_HS3836000005,2016_HH11380085,3,2,1,1,6,2,1,72.6,3,1,1,8,2,3,3,2,3,7632.1866479,0.0,67,12000000
2424,2016_HS3836000006,2016_HH12380051,3,2,1,1,5,4,1,85.8,2,1,1,10,2,1,3,1,5,7128.8707482,0.0,67,12000000
2425,2016_HS3836000007,2016_HH11380086,3,2,1,1,6,2,1,62.7,1,1,1,8,5,1,3,1,5,12038.335963,0.0,67,12000000
2426,2016_HS3836000008,2016_HH12380052,3,2,1,1,5,4,5,75.89999999999999,3,1,1,6,2,1,3,2,2,8394.2840135,0.0,55,18000000
2427,2016_HS3838000001,2016_HH11380087,3,2,1,1,6,3,5,135.29999999999998,3,1,2,8,2,1,3,2,3,6968.2156493,0.0,67,12000000
2428,2016_HS3838000002,2016_HH11380088,3,2,1,1,6,3,2,79.19999999999999,4,1,2,8,2,3,3,4,5,8270.4183196,0.0,67,18000000
2429,2016_HS3838000003,2016_HH12380053,3,2,1,1,6,4,2,49.5,1,1,1,8,4,3,3,2,2,11232.316577,0.0,55,25000000
