,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,num_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_occu,num_tot_energy_heat,num_mhh_age,num_hh_ann_incm
1008,3,2,3,11,4,2,4,92.4,3,1,1,8,1,3,3,4,1,8377.468417,35,42000000
1009,3,2,3,8,6,1,4,82.5,3,1,1,4,1,1,4,4,5,10495.36,55,25000000
1010,1,1,1,1,4,1,4,89.1,3,1,1,10,1,1,5,2,3,19938.34,67,2
1011,1,2,3,3,2,1,5,105.6,3,1,2,12,3,1,4,4,1,4496.33,45,42000000
1012,3,2,1,1,6,4,4,89.1,3,1,2,8,2,3,3,2,3,13199.2,55,5
1013,1,2,2,1,3,1,3,82.5,3,1,1,28,1,1,4,1,5,16409.481831,67,2
1014,3,1,3,3,4,2,5,108.9,3,1,2,7,1,3,4,4,3,7038.4954725,45,42000000
1015,1,2,2,2,5,3,3,62.7,1,1,1,7,1,3,4,1,5,7073.56,67,12000000
1016,2,1,1,2,5,3,1,85.8,4,1,2,8,2,3,3,2,1,10878.26,45,54000000
1017,2,2,1,1,6,1,3,66.0,3,1,1,6,2,3,3,2,3,11294.1,67,2
1018,2,2,2,1,5,4,4,59.4,2,1,1,7,1,3,4,2,5,16401.55885,67,3
1019,1,2,3,9,4,1,4,105.6,3,1,1,7,1,1,4,3,5,27661.27,45,25000000
1020,2,2,3,3,6,1,5,79.2,3,1,1,8,1,3,4,1,3,5590.0493522,67,3
1021,3,2,1,1,6,1,3,42.9,2,1,1,3,2,1,3,2,5,6343.54,67,25000000
1022,2,2,3,3,2,1,4,56.1,2,1,1,8,1,3,4,2,1,5827.3654193,67,54000000
1023,3,1,3,5,6,1,4,158.4,5,1,2,12,3,3,4,3,1,14278.000851,35,6
1024,2,2,1,1,6,4,3,66.0,2,1,1,6,5,3,3,3,1,28838.09,45,18000000
1025,1,1,1,1,4,1,3,138.6,3,1,1,12,1,3,5,2,3,15777.694913,67,2
1026,2,2,1,1,4,1,2,59.4,2,1,1,5,2,3,3,1,5,7198.47,67,12000000
1027,2,2,3,3,4,2,4,72.6,3,1,1,8,1,1,4,5,1,5266.265954,55,18000000
1028,3,2,1,1,5,2,4,36.3,1,1,0,5,1,1,4,1,1,9162.2332054,67,18000000
1029,1,2,3,3,2,1,3,49.5,2,0,1,26,1,1,4,2,2,5853.613079,67,1
1030,3,2,3,13,4,1,4,108.9,3,1,2,7,1,3,4,4,1,16944.48,45,42000000
1031,2,1,3,6,4,4,5,105.6,3,1,2,4,1,1,4,2,1,2815.1374567,67,25000000
1032,2,1,3,2,4,3,3,46.2,2,1,1,4,1,3,4,3,5,7881.005269,67,42000000
1033,1,2,3,2,3,1,4,158.4,4,1,2,8,3,3,4,3,1,15901.460007,55,5
1034,1,1,1,1,6,2,3,118.8,3,1,1,4,1,3,4,5,1,15129.911355,45,25000000
1035,1,2,1,1,6,1,4,112.2,3,1,1,8,4,1,3,1,5,13938.73,45,54000000
1036,1,2,1,1,6,2,3,72.6,3,1,1,8,4,3,3,2,5,27467.76,67,25000000
1037,2,2,3,9,3,1,5,79.19999999999999,3,1,2,8,3,3,4,2,2,9542.1173535,67,25000000
1038,1,1,3,15,2,2,5,158.39999999999998,4,1,2,25,1,3,4,5,1,6171.733066,45,66000000
1039,2,2,3,9,4,1,5,52.8,2,1,1,6,1,3,4,3,1,8431.3075176,55,2
1040,1,2,1,1,6,1,3,85.8,3,1,1,27,1,1,4,1,5,11975.229275,67,2
1041,3,2,1,1,5,1,3,82.5,3,1,1,8,2,3,3,5,1,9782.16,55,8
1042,1,1,3,8,2,3,5,112.2,3,1,2,6,1,3,4,4,3,15844.141764,55,42000000
1043,1,1,1,1,5,3,3,85.8,3,1,1,13,1,3,5,2,3,20787.86,67,1
1044,1,1,1,2,4,1,1,56.1,2,1,1,5,1,1,4,2,5,8092.244347,67,12000000
1045,1,2,2,2,3,4,4,66.0,2,1,1,15,2,3,3,2,5,9215.8328615,67,2
1046,3,2,3,1,5,2,3,42.9,2,0,1,12,1,1,3,3,1,6019.0902108,55,18000000
1047,1,1,3,7,4,1,5,102.3,3,1,2,14,1,3,4,4,1,10187.836404,55,66000000
1048,1,2,1,2,4,1,3,82.5,4,1,1,16,1,3,4,4,1,14379.544372,55,2
1049,1,2,3,2,4,1,6,49.5,2,1,1,8,3,1,4,3,3,10700.97994,35,18000000
1050,1,2,3,3,2,1,4,59.4,3,1,1,8,1,3,3,5,1,5879.93,55,42000000
