,id_hs,id_hh,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,num_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_occu,num_tot_energy_heat,num_tot_gas_heat,num_mhh_age,num_hh_ann_incm
821,HS2402000014,HH11240029,3,1,3,14,4,1,4,105.6,3,1,2,8,1,1,4,4,1,13285.68,11535.58,55,42000000
822,HS2402000015,HH11240030,3,1,3,18,4,1,4,105.6,3,1,2,8,1,1,4,4,1,13131.41,11504.29,45,42000000
823,HS2402000016,HH11240031,3,1,3,19,4,1,4,105.6,3,1,2,8,1,3,4,3,1,13227.02,11681.6,45,25000000
824,HS2402000017,HH15240021,3,1,3,15,4,3,4,105.6,3,1,1,8,1,1,4,4,3,9223.6176216,7010.8376216,55,54000000
825,HS2402000018,HH14240006,3,1,3,3,4,1,3,105.6,3,1,2,16,1,3,4,3,2,14340.1,10888.92,67,25000000
826,HS2402000019,HH15240022,3,1,1,1,5,2,3,66.0,2,1,1,4,1,1,4,2,5,10990.1,8740.34,67,12000000
827,HS2402000020,HH15240023,3,1,1,2,4,1,5,82.5,2,1,1,12,2,3,3,4,1,12110.79,0.0,55,90000000
828,HS2402000021,HH11240032,3,1,1,3,4,1,5,82.5,2,1,1,12,2,3,3,4,1,13705.88,0.0,55,18000000
829,HS2402000022,HH15240024,3,1,1,3,4,1,5,79.19999999999999,2,1,1,8,2,3,3,3,1,9879.64,0.0,45,18000000
830,HS2402000023,HH16240011,3,1,3,15,5,2,5,59.4,2,0,1,4,1,3,4,3,1,4538.9,1939.98,25,25000000
831,HS2402000024,HH12240036,3,1,3,10,4,2,5,79.19999999999999,3,1,1,7,1,3,4,3,1,10289.73,8709.05,45,25000000
832,HS2402000025,HH11240033,3,1,3,14,4,2,5,79.19999999999999,3,1,1,7,1,1,4,1,1,7867.90315,4669.56315,35,42000000
833,HS2402000026,HH11240034,3,1,3,4,4,2,5,79.19999999999999,3,1,1,7,1,3,4,3,1,10146.29,8563.03,35,42000000
834,HS2402000027,HH11240035,3,1,3,6,4,2,5,79.19999999999999,3,1,1,7,1,3,4,3,1,13354.65,11796.33,45,25000000
835,HS2402000028,HH12240037,3,1,3,7,4,2,5,79.19999999999999,3,1,1,7,1,1,4,2,3,10247.37,8688.19,55,25000000
836,HS2402000029,HH13240007,3,1,3,8,4,2,5,79.19999999999999,3,1,1,7,1,3,4,3,1,13647.13,10336.13,55,42000000
837,HS2403000001,HH16240003,3,1,1,2,4,2,2,36.3,2,1,1,4,2,1,3,2,2,16893.55,0.0,67,25000000
838,HS2403000002,HH15240003,3,1,1,1,5,2,3,59.4,2,1,1,4,1,1,4,3,1,13573.666806,12090.166806,55,42000000
839,HS2403000003,HH15240004,3,1,1,3,4,2,3,19.799999999999997,2,1,1,4,1,3,4,4,1,7451.791394,5783.391394,45,42000000
840,HS2403000004,HH15240005,3,1,1,3,4,2,3,59.4,2,1,1,4,1,1,4,4,1,11804.32,9699.9,45,54000000
841,HS2403000005,HH15240006,3,1,3,1,4,1,3,105.6,3,1,1,12,1,3,4,4,1,10139.0,6404.02,67,54000000
