,id_hh,id_hs,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,num_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_occu,num_hh_ann_incm,num_heat_satis,num_heat_cost_rel,num_mhh_age,num_tot_energy_heat,num_tot_gas_heat,num_tot_gas_vol,lv_cg,lv_meter,lv_indv,lv_measure
2215,HH12370025,HS3734000002,2,2,1,1,6,1,1,42.9,2,0,1,7,2,1,3,1,5,1,4,3,67,7477.26,0.0,0.0,0,0.0,1,0.0
2216,HH12370026,HS3734000003,2,2,1,1,6,1,1,42.9,2,1,1,8,2,1,3,2,3,2,3,3,67,8236.2,0.0,0.0,0,0.0,1,0.0
2217,HH12370027,HS3734000004,2,2,1,1,6,1,5,72.6,3,1,1,8,2,1,3,2,4,2,3,3,67,8263.56,0.0,0.0,0,0.0,1,0.0
2218,HH13370020,HS3734000005,2,2,1,1,6,1,1,56.1,3,1,1,6,2,1,3,1,5,1,3,3,67,8410.38,0.0,0.0,0,0.0,1,0.0
2219,HH12370029,HS3734000007,2,2,1,1,6,1,1,49.5,2,0,1,5,2,1,3,2,3,3,3,3,67,7888.56,0.0,0.0,0,0.0,1,0.0
2220,HH12370030,HS3734000008,2,2,1,1,6,1,1,33.0,1,0,1,7,2,1,3,1,3,1,3,3,55,4641.85,0.0,0.0,0,0.0,1,0.0
2221,HH12370031,HS3734000009,2,2,1,1,6,1,1,42.9,2,0,1,6,2,1,3,1,3,2,3,3,67,10004.68,0.0,0.0,0,0.0,1,0.0
2222,HH17370032,HS3734000010,2,2,2,2,6,2,4,89.1,3,1,1,10,2,1,3,2,1,2,3,3,55,11188.06,0.0,0.0,0,0.0,1,0.0
2223,HH17370033,HS3734000011,2,2,2,2,2,2,4,89.1,3,1,1,12,2,3,3,2,2,3,2,3,55,9374.56,0.0,0.0,0,0.0,1,0.0
2224,HH12370019,HS3735000001,2,2,1,1,6,1,1,52.8,2,0,1,4,2,1,3,1,5,2,4,3,67,6763.8,0.0,0.0,0,0.0,1,0.0
