,id_hs,id_hh,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,num_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_occu,num_mhh_age,num_hh_ann_incm,num_tot_energy_heat,num_tot_gas_heat
279,HS1120000032,HH17110091,1,1,3,11,3,3,4,82.5,3,1,1,4,1,3,5,5,3,45,42000000,11246.5,7447.02
280,HS1120000033,HH17110092,1,1,3,9,2,2,5,75.89999999999999,3,1,2,2,1,3,5,3,1,55,25000000,5821.6018954,3497.0218954
281,HS1120000034,HH17110093,1,1,3,11,2,2,4,105.6,3,1,2,3,1,1,5,1,5,67,12000000,12943.204712,10983.264712
282,HS1120000035,HH17110094,1,1,3,8,2,3,4,105.6,3,1,2,4,1,1,5,3,1,55,66000000,3712.4905079,1373.2905079
283,HS1120000036,HH17110095,1,1,3,2,3,4,3,82.5,2,1,1,1,1,3,5,4,1,55,66000000,19270.5254,16885.7454
284,HS1120000037,HH17110096,1,1,1,2,4,2,3,66.0,3,1,1,4,1,3,5,4,1,55,42000000,9082.2694364,5646.5694364
285,HS1120000038,HH17110097,1,1,1,2,4,3,5,72.6,3,1,1,4,1,1,5,3,3,55,54000000,4845.48,2795.24
286,HS1120000039,HH17110098,1,1,1,2,5,2,4,82.5,3,1,1,18,1,3,4,3,4,67,54000000,15822.518996,13104.918996
287,HS1121000002,HH16110004,1,1,3,21,3,1,5,105.6,3,1,2,12,1,1,5,3,5,55,54000000,14854.139674,11399.519674
288,HS1121000003,HH13110043,1,1,3,6,2,1,5,99.0,3,1,2,18,1,3,5,4,1,35,54000000,10039.545699,5697.4056989
289,HS1121000004,HH13110044,1,1,3,13,2,1,5,85.8,3,1,1,6,1,3,5,2,5,67,54000000,16758.44738,13468.94738
290,HS1121000006,HH13110046,1,1,3,5,2,2,5,85.8,3,1,1,6,1,3,5,3,5,55,42000000,7301.526775,4042.986775
291,HS1121000007,HH13110047,1,1,3,8,2,2,5,85.8,3,1,1,8,1,1,4,3,1,55,54000000,9572.985405,8075.725405
292,HS1121000008,HH16110005,1,1,3,8,2,1,4,105.6,3,1,2,8,1,3,4,4,1,67,96000000,11344.812675,8382.972675
293,HS1121000010,HH15110004,1,1,2,1,5,1,6,115.5,4,1,2,10,1,3,4,6,3,67,54000000,16597.83,13193.95
294,HS1121000011,HH13110049,1,1,1,2,5,2,5,105.6,3,1,1,10,1,3,4,5,3,45,78000000,10939.5881,8350.9881
295,HS1121000012,HH13110050,1,1,3,7,4,2,5,148.5,4,1,2,24,1,3,4,4,1,55,78000000,13967.010252,10945.830252
296,HS1121000013,HH13110051,1,1,3,7,4,3,5,79.19999999999999,3,1,2,8,1,3,4,3,1,45,54000000,8049.2256,5506.2056
297,HS1121000015,HH12110002,1,1,1,1,5,3,3,79.19999999999999,3,1,1,6,1,3,4,2,5,67,18000000,13985.091904,10258.711904
298,HS1121000016,HH12110003,1,1,1,1,5,4,3,89.1,3,1,1,6,1,1,4,4,5,45,12000000,3793.419857,2478.479857
299,HS1121000018,HH13110053,1,1,2,4,5,2,5,82.5,3,1,1,12,1,3,4,4,1,45,54000000,8512.8984,5557.9384
300,HS1121000019,HH13110054,1,1,2,2,3,1,5,89.1,3,1,1,8,1,3,4,4,1,55,54000000,16404.887758,13417.247758
301,HS1121000020,HH13110042,1,1,1,2,5,3,5,66.0,3,1,1,10,1,3,4,4,1,45,42000000,9213.329426,5733.769426
302,HS1121000021,HH17110099,1,1,2,2,2,2,4,66.0,3,1,1,3,1,3,5,4,1,67,54000000,12874.19,10273.55
303,HS1121000022,HH17110100,1,1,1,1,5,1,4,66.0,2,1,1,2,1,3,5,4,3,55,42000000,4762.5911043,2006.1666175
304,HS1121000023,HH17110101,1,1,1,2,5,2,4,132.0,4,1,2,10,1,3,5,3,3,55,66000000,26143.320238,22142.89
305,HS1121000024,HH12110001,1,1,2,1,3,1,4,49.5,3,1,1,3,1,1,4,2,1,67,12000000,4892.4903836,2673.6903836
306,HS1121000025,HH17110102,1,1,3,6,3,3,4,75.89999999999999,2,1,1,7,1,3,4,3,1,35,54000000,6696.44,5590.48
307,HS1121000026,HH17110103,1,1,3,6,4,3,3,82.5,3,1,1,3,1,1,4,3,5,67,18000000,4826.614738,3485.874738
308,HS1121000027,HH17110104,1,1,1,2,6,2,5,85.8,3,1,1,5,1,3,4,3,3,67,90000000,12558.86,8344.0
309,HS1122000002,HH13110154,1,1,2,4,2,2,5,99.0,3,1,1,12,1,1,4,4,1,55,54000000,14554.277343,10716.097343
310,HS1122000004,HH13110156,1,1,3,3,3,2,4,72.6,3,1,1,12,3,3,4,5,1,45,25000000,18999.39361,959.56
311,HS1122000007,HH13110159,1,1,3,3,2,1,5,105.6,3,1,2,12,1,3,4,3,3,55,96000000,9663.51035,6662.11035
312,HS1122000008,HH13110160,1,1,3,7,5,1,5,95.69999999999999,3,1,2,15,1,3,4,4,1,45,66000000,10429.13108,7373.55108
313,HS1122000009,HH13110161,1,1,3,2,2,3,5,105.6,3,1,2,19,1,3,4,3,1,45,54000000,13202.8,11097.52
314,HS1122000010,HH13110162,1,1,3,7,2,2,4,82.5,2,1,1,7,3,3,4,4,3,55,54000000,6820.86,1189.02
315,HS1122000012,HH13110164,1,1,3,1,5,1,5,141.9,3,1,2,16,1,3,5,4,1,45,78000000,25296.268781,21155.368781
316,HS1122000014,HH13110166,1,1,3,6,5,1,5,72.6,2,1,1,6,1,3,5,4,1,45,54000000,16398.17,13506.85
